id,first_name,last_name,email,phone_number,password,user_type,updatedAt,createdAt
1,Will,Sands-Allan,user@foodie.com,(992) 5211608,MiL9OnDm,user,2018-06-09 16:02:02,2019-03-22 11:03:16
2,Lelia,Cockett,lcockett1@free.fr,(217) 3419973,7KMHm9rI,user,2018-07-22 16:22:39,2018-08-24 21:57:42
3,Delmer,Joyes,djoyes2@answers.com,(318) 9576906,usveiX,user,2019-04-15 14:36:21,2019-03-29 01:29:13
4,Rogers,Nield,rnield3@google.es,(668) 2910636,pJIVx4vQ,user,2018-12-01 00:23:10,2018-07-30 04:29:19
5,Patti,Touhig,ptouhig4@twitpic.com,(587) 3481801,cHxm0RHvF,user,2019-03-18 00:06:37,2018-11-28 13:22:39
6,Minor,Gayter,mgayter5@jiathis.com,(803) 1820368,Pau2dLtrKFOG,user,2018-10-10 11:51:09,2018-09-02 02:59:03
7,Alameda,Huett,ahuett6@sourceforge.net,(584) 8421834,qXsNHX9ZIJ6t,user,2018-11-08 03:49:50,2019-03-07 13:56:42
8,Tonnie,Sibery,tsibery7@sohu.com,(617) 2773806,bexz9DSqc,user,2019-04-18 08:55:56,2018-09-02 07:09:44
9,Monro,Woolhouse,mwoolhouse8@usa.gov,(228) 3766832,6XPwgL95uXKX,user,2019-01-05 06:47:19,2019-01-04 15:50:19
10,Evangelina,Drennan,edrennan9@123-reg.co.uk,(566) 3572603,KfizXyR8Tb,user,2019-02-03 00:32:19,2018-11-21 22:05:32
11,Maisey,Gillcrist,mgillcrista@godaddy.com,(866) 4282171,gwWW1EtG,user,2018-06-19 02:20:13,2018-06-04 23:23:53
12,Ruby,Brenstuhl,rbrenstuhlb@unesco.org,(150) 3320631,7nOJtlqBxqy,user,2018-11-08 17:50:33,2018-08-19 02:58:51
13,Chrystel,Dank,cdankc@soup.io,(472) 5495689,q5Cz1m,user,2018-08-24 18:37:42,2018-11-16 23:22:32
14,Jacynth,Bucktharp,jbucktharpd@spotify.com,(710) 7397746,xV32Qdwf,user,2018-06-07 06:20:48,2018-07-08 05:00:13
